작업ID,주차,PRD_참조,대분류,작업그룹,선행작업,상태,비고
W1-01,1주차,전체,프로젝트셋업,요구사항 정리 및 개발환경 구축,,대기,견적서 1주차 - 환경 구축
W1-02,1주차,1,사용자인증,C# WPF/WinForms 프로젝트 초기화,W1-01,대기,기본 프로젝트 구조
W1-03,1주차,13,데이터베이스,Supabase 환경 구축 및 DB 스키마 설계,W1-01,대기,PostgreSQL 스키마 설계
W1-04,1주차,13,데이터베이스,Row Level Security (RLS) 정책 설계,W1-03,대기,역할 기반 접근 제어
W1-05,1주차,13,데이터베이스,Storage 버킷 구성 (registry-pdfs/excel-files),W1-03,대기,파일 저장소 구성
W1-06,1주차,3,OCR시스템,Python 런타임 통합 테스트,W1-02,대기,IronPython/프로세스 통신 검증
W1-07,1주차,12,UI/UX디자인,디자인 시스템 구축 (엑셀 스타일),W1-02,대기,딥네이비 + 블루그레이 색상
W1-08,1주차,12,UI/UX디자인,색상 팔레트 및 타이포그래피 정의,W1-07,대기,엑셀 스타일 UI
W1-09,1주차,12,UI/UX디자인,기본 레이아웃 구조 (헤더/사이드바/메인),W1-07,대기,역할별 메뉴 구조
W1-10,1주차,12,UI/UX디자인,공통 컴포넌트 개발 (버튼/입력/그리드/모달),W1-08,대기,재사용 가능 컴포넌트
W1-11,1주차,전체,프로젝트관리,1주차 산출물 정리 및 클라이언트 리뷰,W1-10,대기,주간 보고
W2-01,2주차,1,사용자인증,로그인 화면 UI 구현,W1-09,대기,견적서 2주차 - 인증 시스템
W2-02,2주차,1,사용자인증,회원가입 화면 UI 구현,W2-01,대기,이메일/비밀번호/이름/역할
W2-03,2주차,1,사용자인증,Supabase Auth 연동 및 세션 관리,W2-02,대기,인증 로직 구현
W2-04,2주차,1,사용자인증,역할별 초기 화면 리다이렉트,W2-03,대기,PM/평가자/관리자 구분
W2-05,2주차,2,데이터업로드,엑셀 데이터 디스크 업로드 화면,W1-09,대기,파일 선택 UI
W2-06,2주차,2,데이터업로드,자동 컬럼 매핑 화면,W2-05,대기,엑셀 컬럼 → DB 필드 매핑
W2-07,2주차,2,데이터업로드,매핑 미리보기 및 업로드 진행,W2-06,대기,EPPlus/ClosedXML 파싱
W2-08,2주차,2,데이터업로드,Supabase DB 일괄 INSERT 로직,W2-07,대기,대량 데이터 삽입
W2-09,2주차,4,데이터표시,기초 데이터 화면 UI,W1-09,대기,자동 입력 + 평가자 입력 필드
W2-10,2주차,4,데이터표시,데이터 그리드 표시 및 선택,W2-09,대기,물건 리스트 그리드
W2-11,2주차,2,데이터업로드,등기부등본 PDF 다중 파일 선택 화면,W1-09,대기,500~3000개 파일 선택
W2-12,2주차,2,데이터업로드,PDF 업로드 진행 화면 (프로그레스바),W2-11,대기,전체 진행률/개별 상태
W2-13,2주차,2,데이터업로드,Supabase Storage 업로드 (멀티스레드),W2-12,대기,병렬 업로드 처리
W2-14,2주차,2,데이터업로드,파일 메타데이터 DB 저장,W2-13,대기,업로드 완료 처리
